year_co2,no_fires,acres,co2_billions_ton_year
1983,18229,1323666,4.34
1984,20493,1148409,4.47
1985,82591,2896147,4.48
1986,85907,2719162,4.49
1987,71300,2447296,4.68
1988,72750,5009290,4.89
1989,48949,1827310,4.95
1990,66481,4621621,5.13
1991,75754,2953578,5.08
1992,87394,2069929,5.18
1993,58810,1797574,5.28
1994,79107,4073579,5.38
1995,82234,1840546,5.44
1996,96363,6065998,5.63
1997,66196,2856959,5.7
1998,81043,1329704,5.75
1999,92487,5626093,5.83
2000,92250,7393493,6
2001,84079,3570911,5.9
2002,73457,7184712,5.94
2003,63629,3960842,5.99
2004,65461,8097880,6.11
2005,66753,8689389,6.13
2006,96385,9873745,6.05
2007,85705,9328045,6.13
2008,78979,5292468,5.93
2009,78792,5921786,5.49
2010,71971,3422724,5.7
2011,74126,8711367,5.57
2012,67774,9326238,5.37
2013,47579,4319546,5.51
2014,63312,3595613,5.56
2015,68151,10125149,5.41
2016,67743,5509995,5.29
2017,71499,10026086,5.25
2018,58083,8767492,5.42
2019,50477,4664364,5.28
